data_type,folder,file_type,possible_duplicate,n
vector,ecoregions,gpkg,FALSE,1
raster,koppen_climate,tif,FALSE,4
raster,modis,hdf,FALSE,288
vector,modis,csv,FALSE,1
vector,nhdphr_catchments,gpkg,FALSE,1
vector,nhdphr_flowlines,gpkg,FALSE,1
vector,nhdplus_v21,gpkg,FALSE,2
raster,nlcd,tif,FALSE,3
vector,peakflow_gages,csv,FALSE,2
raster,phzm,bil,FALSE,1
raster,phzm,hdr,FALSE,1
raster,phzm,stx,FALSE,1
raster,prism,bil,FALSE,1114
raster,prism,hdr,FALSE,1114
raster,prism,stx,FALSE,1114
vector,statsgo2,csv,FALSE,2
vector,statsgo2,gpkg,FALSE,1
